Source,Headline,Link,Sentiment Score,Sentiment Label,extracted_companies,cleaned_text,sentiment
Yahoo Finance,News,https://finance.yahoo.comhttps://www.yahoo.com/,0.0,Neutral,[],news,neutral
Yahoo Finance,Life,https://finance.yahoo.comhttps://www.yahoo.com/lifestyle/,0.0,Neutral,[],life,neutral
Yahoo Finance,Entertainment,https://finance.yahoo.comhttps://www.yahoo.com/entertainment/,0.4215,Positive,[],entertainment,positive
Yahoo Finance,Finance,https://finance.yahoo.comhttps://finance.yahoo.com/,0.0,Neutral,[],finance,neutral
Yahoo Finance,Sports,https://finance.yahoo.comhttps://sports.yahoo.com/,0.0,Neutral,[],sports,neutral
CNBC,How AI is speeding the mining of valuable metals needed to power the clean economy,https://www.cnbc.com/2025/02/24/earth-ai-reducing-mining-time-for-metals-to-power-the-clean-economy-.html,0.7003,Positive,[],ai speeding mining valuable metals needed power clean economy,positive
CNBC,Pepsico's Greenhouse Accelerator program works with startups,https://www.cnbc.com/video/2025/02/14/pepsicos-greenhouse-accelerator-program-works-with-startups.html,0.0,Neutral,['Pepsico'],pepsicos greenhouse accelerator program works startups,neutral
CNBC,Norway is poised to become the first country to fully transition to EVs,https://www.cnbc.com/2025/01/28/norway-set-to-be-the-first-to-fully-transition-to-electric-vehicles.html,0.25,Positive,[],norway poised become first country fully transition evs,positive
CNBC,This startup plans to recycle aluminum from cars and keep it all in the U.S.,https://www.cnbc.com/2025/01/17/this-startup-plans-to-recycle-aluminum-from-cars-and-keep-it-all-in-the-us.html,0.0,Neutral,[],startup plans recycle aluminum cars keep us,neutral
CNBC,Greenland’s melting ice is clearing the way for a mineral ‘gold rush’,https://www.cnbc.com/2025/01/17/greenlands-melting-ice-is-clearing-the-way-for-a-mineral-gold-rush.html,0.0,Neutral,[],greenlands melting ice clearing way mineral gold rush,neutral
Morningstar,Latest Research,,0.0,Neutral,[],latest research,neutral
Morningstar,Get Our Independent Research Delivered Straight to Your Inbox,,0.2263,Positive,[],get independent research delivered straight inbox,positive
Morningstar,Explore All Research Topics,,0.0,Neutral,[],explore research topics,neutral
Morningstar,Discover Insights Beyond Research,,0.0,Neutral,[],discover insights beyond research,neutral
Morningstar,Let's Collaborate,,0.0,Neutral,[],lets collaborate,neutral
Climate Home News,Will Indonesia's new carbon market be a solution o face problems?,https://www.climatechangenews.com/2025/03/11/will-indonesias-new-carbon-market-be-a-climate-solution-problems/,,,[],indonesias new carbon market solution face problems,negative
Climate Home News,Women hardest hit by South Sudan’s climate-fueled heatwave,https://www.climatechangenews.com/2025/03/07/women-bear-brunt-of-south-sudans-heatwave-made-worse-by-climate-change/,,,[],women hardest hit south sudans climatefueled heatwave,neutral
Climate Home News,Advancing women's rights and empowerment in climate adaptation,https://www.climatechangenews.com/2025/03/07/advancing-womens-rights-and-empowerment-in-climate-adaptation/,,,[],advancing womens rights empowerment climate adaptation,neutral
Climate Home News,Burn company enumerator Teresia Wanjiru checks moisture on firewood in Kachoroba village of Kiambu county,https://www.climatechangenews.com/2025/03/07/most-cookstove-carbon-credits-ruled-out-of-quality-scheme-in-push-for-high-integrity/,,,[],burn company enumerator teresia wanjiru checks moisture firewood kachoroba village kiambu county,neutral
Climate Home News,a seaweed farmer in Tanzania. A tale of two women: What climate vulnerability actually looks like,https://www.climatechangenews.com/2025/03/07/a-tale-of-two-women-what-climate-vulnerability-actually-looks-like/,,,[],seaweed farmer tanzania tale two women climate vulnerability actually looks like,positive
Climate Home News,Doctors warn of health impacts on children in Chile’s mining region / Chile health crisis,https://www.climatechangenews.com/2024/12/17/doctors-raise-alarm-on-childrens-health-crisis-in-chile-copper-mining-heartland/,,,[],doctors warn health impacts children chiles mining region chile health crisis,negative
Climate Home News,Will Indonesia's new carbon market be a solution o face problems?,https://www.climatechangenews.com/2025/03/11/will-indonesias-new-carbon-market-be-a-climate-solution-problems/,,,[],indonesias new carbon market solution face problems,negative
Climate Home News,a seaweed farmer in Tanzania. A tale of two women: What climate vulnerability actually looks like,https://www.climatechangenews.com/2025/03/07/a-tale-of-two-women-what-climate-vulnerability-actually-looks-like/,,,[],seaweed farmer tanzania tale two women climate vulnerability actually looks like,positive
Climate Home News,Workers clean photovoltaic panels inside a solar power plant in Gujarat. Can rethinking risk accelerate the Global South's energy transition?,https://www.climatechangenews.com/2025/02/25/can-a-different-approach-to-risk-accelerate-the-energy-transition-in-the-global-south/,,,[],workers clean photovoltaic panels inside solar power plant gujarat rethinking risk accelerate global souths energy transition,positive
Climate Home News,"COP16 plenary in Cali, Colombia, on 30th October, 2024. (Photo: UN Biodiversity) Can COP16 2.0 unlock business investment to fund nature?",https://www.climatechangenews.com/2025/02/21/how-cop16-2-0-can-unlock-business-investment-to-properly-fund-nature/,,,[],cop16 plenary cali colombia 30th october 2024 photo un biodiversity cop16 20 unlock business investment fund nature,neutral
Climate Home News,Elevating women can bridge India’s green skills shortage,https://www.climatechangenews.com/2025/02/04/india-can-plug-its-green-skills-gap-by-elevating-women-in-the-workforce/,,,[],elevating women bridge indias green skills shortage,negative
Climate Home News,Can Indonesia find alternatives to replace coal?,https://www.climatechangenews.com/2025/01/27/indonesias-next-priority-should-be-finding-alternatives-to-replace-coal/,,,[],indonesia find alternatives replace coal,neutral
Climate Home News,Wall Street's faltering on climate action opens up opportunity for European banks,https://www.climatechangenews.com/2025/01/17/wall-streets-faltering-on-climate-action-opens-up-opportunity-for-european-banks/,,,[],wall streets faltering climate action opens opportunity european banks,positive
Climate Home News,LA fires show human cost of climate-driven 'whiplash' between wet and dry extremes,https://www.climatechangenews.com/2025/01/15/la-fires-show-human-cost-of-climate-driven-whiplash-between-wet-and-dry-extremes/,,,[],la fires show human cost climatedriven whiplash wet dry extremes,neutral
Climate Home News,"An Aerolineas Argentinas Boeing 737-8SH takes off at the Aeroparque Jorge Newbery airport, in Buenos Aires, Argentina, December 26, 2024. (Photo: REUTERS/Agustin Marcarian). How can we make aviation more sustainable right now?",https://www.climatechangenews.com/2025/01/08/five-ways-to-make-aviation-more-sustainable-right-now/,,,"['Aerolineas Argentinas', 'Boeing', 'REUTERS']",aerolineas argentinas boeing 7378sh takes aeroparque jorge newbery airport buenos aires argentina december 26 2024 photo reutersagustin marcarian make aviation sustainable right,neutral
Climate Home News,Will Indonesia's new carbon market be a solution o face problems?,https://www.climatechangenews.com/2025/03/11/will-indonesias-new-carbon-market-be-a-climate-solution-problems/,,,[],indonesias new carbon market solution face problems,negative
Climate Home News,Burn company enumerator Teresia Wanjiru checks moisture on firewood in Kachoroba village of Kiambu county,https://www.climatechangenews.com/2025/03/07/most-cookstove-carbon-credits-ruled-out-of-quality-scheme-in-push-for-high-integrity/,,,[],burn company enumerator teresia wanjiru checks moisture firewood kachoroba village kiambu county,neutral
Climate Home News,Shell dodges paying compensation for sham carbon credits in China,https://www.climatechangenews.com/2025/01/31/shell-dodges-paying-compensation-for-sham-carbon-credits-in-china/,,,['Shell'],shell dodges paying compensation sham carbon credits china,positive
Climate Home News,Amazon Nations Unite in Criticism of EU Deforestation Rules. Experts quit carbon market watchdog in row over quality label for forest credits,https://www.climatechangenews.com/2024/12/13/experts-quit-carbon-market-watchdog-in-row-over-quality-label-for-forest-credits/,,,"['Amazon', 'EU']",amazon nations unite criticism eu deforestation rules experts quit carbon market watchdog row quality label forest credits,positive
Climate Home News,Verra's plan to review carbon credits faster raises integrity concerns,https://www.climatechangenews.com/2024/10/31/verras-plan-to-review-carbon-credits-faster-with-fewer-staff-raises-integrity-fears/,,,['Verra'],verras plan review carbon credits faster raises integrity concerns,positive
Climate Home News,UN oks carbon market safeguards to protect environment and human rights,https://www.climatechangenews.com/2024/10/10/un-approves-carbon-market-safeguards-to-protect-environment-and-human-rights/,,,[],un oks carbon market safeguards protect environment human rights,positive
Climate Home News,Guyana's carbon-credit deal to protect forests undermines forest protectors,https://www.climatechangenews.com/2024/10/03/guyanas-carbon-credit-deal-to-protect-forests-undermines-forest-protectors/,,,[],guyanas carboncredit deal protect forests undermines forest protectors,positive
Climate Home News,Advancing women's rights and empowerment in climate adaptation,https://www.climatechangenews.com/2025/03/07/advancing-womens-rights-and-empowerment-in-climate-adaptation/,,,[],advancing womens rights empowerment climate adaptation,neutral
Climate Home News,Global conflicts put pressure on climate adaptation,https://www.climatechangenews.com/2025/02/06/renewed-global-violence-puts-pressure-on-climate-adaptation/,,,[],global conflicts put pressure climate adaptation,negative
Climate Home News,Why a global pact on plastic pollution needs production curbs?,https://www.climatechangenews.com/2024/11/26/production-curbs-needed-for-strong-new-global-pact-on-plastic-pollution-campaigners-say/,,,[],global pact plastic pollution needs production curbs,neutral
Climate Home News,Cross-border climate risks can't be solved in isolation,https://www.climatechangenews.com/2024/11/11/cross-border-climate-risks-cant-be-solved-in-isolation/,,,[],crossborder climate risks cant solved isolation,negative
Climate Home News,Flooded houses in a Senegalese town.,https://www.climatechangenews.com/2024/11/08/cop29-we-need-to-adapt-to-climate-chaos-now/,,,[],flooded houses senegalese town,neutral
Climate Home News,Climate disasters challenge right to safe and adequate housing,https://www.climatechangenews.com/2024/08/22/climate-disasters-challenge-right-to-safe-and-adequate-housing/,,,[],climate disasters challenge right safe adequate housing,positive
