Source,Headline,Link,Sentiment Score,Sentiment Label
Yahoo Finance,Entertainment,https://finance.yahoo.comhttps://www.yahoo.com/entertainment/,0.4215,Positive
Yahoo Finance,Finance,https://finance.yahoo.comhttps://finance.yahoo.com/,0.0,Neutral
Yahoo Finance,Sports,https://finance.yahoo.comhttps://sports.yahoo.com/,0.0,Neutral
CNBC,How AI is speeding the mining of valuable metals needed to power the clean economy,https://www.cnbc.com/2025/02/24/earth-ai-reducing-mining-time-for-metals-to-power-the-clean-economy-.html,0.7003,Positive
CNBC,Pepsico's Greenhouse Accelerator program works with startups,https://www.cnbc.com/video/2025/02/14/pepsicos-greenhouse-accelerator-program-works-with-startups.html,0.0,Neutral
CNBC,Norway is poised to become the first country to fully transition to EVs,https://www.cnbc.com/2025/01/28/norway-set-to-be-the-first-to-fully-transition-to-electric-vehicles.html,0.25,Positive
CNBC,This startup plans to recycle aluminum from cars and keep it all in the U.S.,https://www.cnbc.com/2025/01/17/this-startup-plans-to-recycle-aluminum-from-cars-and-keep-it-all-in-the-us.html,0.0,Neutral
CNBC,Greenland’s melting ice is clearing the way for a mineral ‘gold rush’,https://www.cnbc.com/2025/01/17/greenlands-melting-ice-is-clearing-the-way-for-a-mineral-gold-rush.html,0.0,Neutral
Morningstar,Latest Research,N/A,0.0,Neutral
Morningstar,Get Our Independent Research Delivered Straight to Your Inbox,N/A,0.2263,Positive
Morningstar,Explore All Research Topics,N/A,0.0,Neutral
Morningstar,Discover Insights Beyond Research,N/A,0.0,Neutral
Morningstar,Let's Collaborate,N/A,0.0,Neutral
Climate Home News,Will Indonesia's new carbon market be a solution o face problems?,https://www.climatechangenews.com/2025/03/11/will-indonesias-new-carbon-market-be-a-climate-solution-problems/,,
Climate Home News,Women hardest hit by South Sudan’s climate-fueled heatwave,https://www.climatechangenews.com/2025/03/07/women-bear-brunt-of-south-sudans-heatwave-made-worse-by-climate-change/,,
Climate Home News,Advancing women's rights and empowerment in climate adaptation,https://www.climatechangenews.com/2025/03/07/advancing-womens-rights-and-empowerment-in-climate-adaptation/,,
Climate Home News,Burn company enumerator Teresia Wanjiru checks moisture on firewood in Kachoroba village of Kiambu county,https://www.climatechangenews.com/2025/03/07/most-cookstove-carbon-credits-ruled-out-of-quality-scheme-in-push-for-high-integrity/,,
Climate Home News,a seaweed farmer in Tanzania. A tale of two women: What climate vulnerability actually looks like,https://www.climatechangenews.com/2025/03/07/a-tale-of-two-women-what-climate-vulnerability-actually-looks-like/,,
Climate Home News,Doctors warn of health impacts on children in Chile’s mining region / Chile health crisis,https://www.climatechangenews.com/2024/12/17/doctors-raise-alarm-on-childrens-health-crisis-in-chile-copper-mining-heartland/,,
Climate Home News,Will Indonesia's new carbon market be a solution o face problems?,https://www.climatechangenews.com/2025/03/11/will-indonesias-new-carbon-market-be-a-climate-solution-problems/,,
Climate Home News,a seaweed farmer in Tanzania. A tale of two women: What climate vulnerability actually looks like,https://www.climatechangenews.com/2025/03/07/a-tale-of-two-women-what-climate-vulnerability-actually-looks-like/,,
Climate Home News,Workers clean photovoltaic panels inside a solar power plant in Gujarat. Can rethinking risk accelerate the Global South's energy transition?,https://www.climatechangenews.com/2025/02/25/can-a-different-approach-to-risk-accelerate-the-energy-transition-in-the-global-south/,,
Climate Home News,"COP16 plenary in Cali, Colombia, on 30th October, 2024. (Photo: UN Biodiversity) Can COP16 2.0 unlock business investment to fund nature?",https://www.climatechangenews.com/2025/02/21/how-cop16-2-0-can-unlock-business-investment-to-properly-fund-nature/,,
Climate Home News,Elevating women can bridge India’s green skills shortage,https://www.climatechangenews.com/2025/02/04/india-can-plug-its-green-skills-gap-by-elevating-women-in-the-workforce/,,
Climate Home News,Can Indonesia find alternatives to replace coal?,https://www.climatechangenews.com/2025/01/27/indonesias-next-priority-should-be-finding-alternatives-to-replace-coal/,,
Climate Home News,Wall Street's faltering on climate action opens up opportunity for European banks,https://www.climatechangenews.com/2025/01/17/wall-streets-faltering-on-climate-action-opens-up-opportunity-for-european-banks/,,
Climate Home News,LA fires show human cost of climate-driven 'whiplash' between wet and dry extremes,https://www.climatechangenews.com/2025/01/15/la-fires-show-human-cost-of-climate-driven-whiplash-between-wet-and-dry-extremes/,,
Climate Home News,"An Aerolineas Argentinas Boeing 737-8SH takes off at the Aeroparque Jorge Newbery airport, in Buenos Aires, Argentina, December 26, 2024. (Photo: REUTERS/Agustin Marcarian). How can we make aviation more sustainable right now?",https://www.climatechangenews.com/2025/01/08/five-ways-to-make-aviation-more-sustainable-right-now/,,
Climate Home News,Will Indonesia's new carbon market be a solution o face problems?,https://www.climatechangenews.com/2025/03/11/will-indonesias-new-carbon-market-be-a-climate-solution-problems/,,
Climate Home News,Burn company enumerator Teresia Wanjiru checks moisture on firewood in Kachoroba village of Kiambu county,https://www.climatechangenews.com/2025/03/07/most-cookstove-carbon-credits-ruled-out-of-quality-scheme-in-push-for-high-integrity/,,
Climate Home News,Shell dodges paying compensation for sham carbon credits in China,https://www.climatechangenews.com/2025/01/31/shell-dodges-paying-compensation-for-sham-carbon-credits-in-china/,,
Climate Home News,Amazon Nations Unite in Criticism of EU Deforestation Rules. Experts quit carbon market watchdog in row over quality label for forest credits,https://www.climatechangenews.com/2024/12/13/experts-quit-carbon-market-watchdog-in-row-over-quality-label-for-forest-credits/,,
Climate Home News,Verra's plan to review carbon credits faster raises integrity concerns,https://www.climatechangenews.com/2024/10/31/verras-plan-to-review-carbon-credits-faster-with-fewer-staff-raises-integrity-fears/,,
Climate Home News,UN oks carbon market safeguards to protect environment and human rights,https://www.climatechangenews.com/2024/10/10/un-approves-carbon-market-safeguards-to-protect-environment-and-human-rights/,,
Climate Home News,Guyana's carbon-credit deal to protect forests undermines forest protectors,https://www.climatechangenews.com/2024/10/03/guyanas-carbon-credit-deal-to-protect-forests-undermines-forest-protectors/,,
Climate Home News,Advancing women's rights and empowerment in climate adaptation,https://www.climatechangenews.com/2025/03/07/advancing-womens-rights-and-empowerment-in-climate-adaptation/,,
Climate Home News,Global conflicts put pressure on climate adaptation,https://www.climatechangenews.com/2025/02/06/renewed-global-violence-puts-pressure-on-climate-adaptation/,,
Climate Home News,Why a global pact on plastic pollution needs production curbs?,https://www.climatechangenews.com/2024/11/26/production-curbs-needed-for-strong-new-global-pact-on-plastic-pollution-campaigners-say/,,
Climate Home News,Cross-border climate risks can't be solved in isolation,https://www.climatechangenews.com/2024/11/11/cross-border-climate-risks-cant-be-solved-in-isolation/,,
Climate Home News,Flooded houses in a Senegalese town.,https://www.climatechangenews.com/2024/11/08/cop29-we-need-to-adapt-to-climate-chaos-now/,,
Climate Home News,Climate disasters challenge right to safe and adequate housing,https://www.climatechangenews.com/2024/08/22/climate-disasters-challenge-right-to-safe-and-adequate-housing/,,
